Names	Conditions
P1_L13	P1_R2_Tofacitinib_1
P1_L14	P1_R2_MI_3_1
P1_L15	P1_R2_MI_3454_1
P1_L16	P1_R2_Danusertib_1
P1_L17	P1_R2_MLN8054_1
P1_L18	P1_R2_SIRT_IN_1_1
P1_L19	P1_R2_NEO2734_1
P1_L20	P1_R2_SGC_CBP30_1
P1_L21	P1_R2_Oxychlororaphine_1
P1_L22	P1_R2_PROTAC_BET_Degrader_1_1
P1_M03	P1_R2_TG101209_1
P1_M04	P1_R2_R_59_022_1
P1_M05	P1_R2_TP_238_(hydrochloride)_1
P1_M06	P1_R2_SEL24_B489_1
P1_M07	P1_R2_JQAD1_1
P1_M08	P1_R2_MZP_54_1
P1_M09	P1_R2_Bisindolylmaleimide_X_(hydrochloride)_1
P1_M10	P1_R2_Protein_Kinase_C_(19_36)_1
P1_M11	P1_R2_JNJ_42041935_1
P1_M12	P1_R2_TCS_21311_1
P1_M13	P1_R2_PIM_447_(dihydrochloride)_1
P1_M14	P1_R2_PKC_iota_inhibitor_1_1
P1_M15	P1_R2_RVX_297_1
P1_M16	P1_R2_PROTAC_BRD4_binding_moiety_1_1
P1_M17	P1_R2_AZD1208_1
P1_M18	"P1_R2_1,4_DPCA_ethyl_ester_1"
P1_M19	P1_R2_Alisertib_1
P1_M20	P1_R2_UNC0638_1
P1_M21	P1_R2_MS177_1
P1_M22	P1_R2_(R)_GSK_3685032_1
P1_N03	P1_R2_TCS_PIM_1_1_1
P1_N04	"P1_R2_(2R,5S)_Ritlecitinib_1"
P1_N05	P1_R2_MK_3903_1
P1_N06	P1_R2_EPZ011989_1
P1_N07	P1_R2_7_Methoxyisoflavone_1
P1_N08	P1_R2_KDOAM_25_(citrate)_1
P1_N09	P1_R2_TMP195_1
P1_N10	P1_R2_Decernotinib_1
P1_N11	P1_R2_YLF_466D_1
P1_N12	P1_R2_DCPLA_ME_1
P1_N13	P1_R2_BRM/BRG1_ATP_Inhibitor_2_1
P1_N14	P1_R2_JAK_IN_3_1
P1_N15	P1_R2_BGP_15_1
P1_N16	P1_R2_ZL0420_1
P1_N17	P1_R2_PT_2385_1
P1_N18	P1_R2_Paris_saponin_VII_1
P1_N19	P1_R2_Go_6983_1
P1_N20	P1_R2_Tz_Thalidomide_1
P1_N21	P1_R2_NVP_BSK805_(dihydrochloride)_1
P1_N22	P1_R2_CPI_203_1
P1_O03	P1_R2_FHD_286_1
P1_O04	P1_R2_KG_548_1
P1_O05	P1_R2_HIF_IN_1_1
P1_O06	P1_R2_MAT2A_inhibitor_3_1
P1_O07	P1_R2_GNE_272_1
P1_O08	P1_R2_Tacedinaline_1
P1_O09	P1_R2_PF_CBP1_hydrochloride_1
P1_O10	P1_R2_ZL0454_1
P1_O11	P1_R2_Mivebresib_1
P1_O12	P1_R2_Hispidin_1
P1_O13	P1_R2_Tucidinostat_1
P1_O14	P1_R2_GSK8573_1
P1_O15	P1_R2_Protein_kinase_inhibitor_H_7_(dihydrochloride)_1
P1_O16	P1_R2_A_3_(hydrochloride)_1
P1_O17	P1_R2_Bisindolylmaleimide_IV_1
P1_O18	P1_R2_CMPD101_1
P1_O19	P1_R2_BET_BAY_002_1
P1_O20	P1_R2_PHA_680632_1
P1_O21	P1_R2_AMPK_activator_4_1
P1_O22	P1_R2_MK_8745_1
P1_P03	P1_R2_L002_1
P1_P04	P1_R2_Daphnoretin_1
P1_P05	P1_R2_Ruxolitinib_1
P1_P06	P1_R2_MAT2A_inhibitor_2_1
P1_P07	P1_R2_TP_472_1
P1_P08	P1_R2_TC_S_7009_1
P1_P09	P1_R2_SMI_4a_1
P1_P10	P1_R2_CX_6258_1
P1_P11	P1_R2_HIF_2__IN_4_1
P1_P12	P1_R2_Pim1/AKK1_IN_1_1
P1_P13	P1_R2_HDAC8_IN_1_1
P1_P14	P1_R2_CUDC_101_1
P1_P15	P1_R2_PKC_IN_1_1
P1_P16	P1_R2_G244_LM_1
P1_P17	P1_R2_Ingenol_1
P1_P18	P1_R2_Saruparib_1
P1_P19	P1_R2_GSK3326595_1
P1_P20	P1_R2_INCB054329_1
P1_P21	P1_R2_CBP/p300_IN_3_1
P1_P22	P1_R2_TAS_301_1
P2_A03	P2_R2_Resveratrol_analog_1_2
P2_A04	P2_R2_PF_06263276_2
P2_A05	P2_R2_ENMD_2076_(Tartrate)_2
P2_A06	P2_R2_CPI_637_2
P2_A07	P2_R2_BRD73954_2
P2_A08	P2_R2_A_485_2
P2_A09	P2_R2_PROTAC_EZH2_Degrader_1_2
P2_A10	P2_R2_Simmiparib_2
P2_A11	P2_R2_UNC6934_2
P2_A12	P2_R2_Mitoxantrone_2
P2_A13	P2_R2_MAK683_2
P2_A14	P2_R2_GSK_1070916_2
P2_A15	P2_R2_Pim_1/2_kinase_inhibitor_1_2
P2_A16	P2_R2_Dorsomorphin_(dihydrochloride)_2
P2_A17	P2_R2_Dot1L_IN_5_2
P2_A18	P2_R2_LEM_14_2
P2_A19	P2_R2_AK_7_2
P2_A20	P2_R2_(E/Z)_Zotiraciclib_(citrate)_2
P2_A21	P2_R2_PARP10/15_IN_2_2
P2_A22	P2_R2_MRT199665_2
P2_B03	P2_R2_R_59_022_(hydrochloride)_2
P2_B04	P2_R2_RGB_286638_2
P2_B05	P2_R2_UNC_0631_2
P2_B06	P2_R2_Ro_31_8220_(mesylate)_2
P2_B07	P2_R2_C8_Ceramide_2
P2_B08	P2_R2_Baricitinib_(phosphate)_2
P2_B09	P2_R2_KDM5_C49_(hydrochloride)_2
P2_B10	P2_R2_Lin28_let_7a_antagonist_1_2
P2_B11	P2_R2_PI_1840_2
P2_B12	P2_R2_BRD9539_2
P2_B13	P2_R2_CCT241736_2
P2_B14	P2_R2_5_Azacytidine_2
P2_B15	P2_R2_Sinapinic_acid_2
P2_B16	P2_R2_Dacinostat_2
P2_B17	P2_R2_Iniparib_2
P2_B18	P2_R2_7_Chloro_4_(piperazin_1_yl)quinoline_2
P2_B19	P2_R2_(R)_(_)_JQ1_Enantiomer_2
P2_B20	P2_R2_dAURK_4_(hydrochloride)_2
P2_B21	P2_R2_TGP_377/421_2
P2_B22	P2_R2_MS023_2
P2_C03	P2_R2_CK2/ERK8_IN_1_2
P2_C04	P2_R2_UNC1021_2
P2_C05	P2_R2_JAK3_IN_6_2
P2_C06	P2_R2_HJB97_2
P2_C07	P2_R2_AMI_1_2
P2_C08	P2_R2_JMJD7_IN_1_2
P2_C09	P2_R2_(R)_BAY1238097_2
P2_C10	P2_R2_Tilorone_(dihydrochloride)_2
P2_C11	P2_R2_Oltipraz_2
P2_C12	P2_R2_MI_538_2
P2_C13	P2_R2_PRMT5_IN_25_2
P2_C14	P2_R2_Entinostat_2
P2_C15	P2_R2_ARV_825_2
P2_C16	P2_R2_CYC_116_2
P2_C17	P2_R2_Enarodustat_2
P2_C18	P2_R2_microRNA_21_IN_2_2
P2_C19	P2_R2_PARP10_IN_3_2
P2_C20	P2_R2_Inauhzin_2
P2_C21	P2_R2_YF_2_2
P2_C22	P2_R2_Bomedemstat_(hydrochloride)_2
P2_D03	P2_R2_AZ3391_2
P2_D04	P2_R2_Y06036_2
P2_D05	P2_R2_UPF_1069_2
P2_D06	P2_R2_Bisindolylmaleimide_I_(hydrochloride)_2
P2_D07	P2_R2_Momelotinib_sulfate_2
P2_D08	P2_R2_Butyzamide_2
P2_D09	P2_R2_GSK121_2
P2_D10	P2_R2_DKFZ_748_2
P2_D11	P2_R2_EX229_2
P2_D12	P2_R2_Abrocitinib_2
P2_D13	P2_R2_Bisindolylmaleimide_I_2
P2_D14	P2_R2_Niraparib_(tosylate_hydrate)_2
P2_D15	P2_R2_AK_1_2
P2_D16	P2_R2_Nicotinamide_2
P2_D17	P2_R2_PIM1_IN_1_2
P2_D18	P2_R2_Pumecitinib_2
P2_D19	P2_R2_ODM_207_2
P2_D20	P2_R2_Dehydrocorydaline_(hydroxyl)_2
P2_D21	P2_R2_GSK761_2
P2_D22	P2_R2_Barasertib_2
P2_E03	P2_R2_MPT0E028_2
P2_E04	P2_R2_JAK/HDAC_IN_1_2
P2_E05	P2_R2_BI_7273_2
P2_E06	P2_R2_SNS_314_(mesylate)_2
P2_E07	P2_R2_MS8815_2
P2_E08	P2_R2_TPOP146_2
P2_E09	P2_R2_CeMMEC1_2
P2_E10	P2_R2_CTPB_2
P2_E11	P2_R2_Pivanex_2
P2_E12	P2_R2_JNJ_7706621_2
P2_E13	P2_R2_HDAC_IN_3_2
P2_E14	P2_R2_SAR_20347_2
P2_E15	P2_R2_MPT0B390_2
P2_E16	P2_R2_BAY_3827_2
P2_E17	P2_R2_MAK683_CH2CH2COOH_(hydrochloride)_2
P2_E18	P2_R2_NU6140_2
P2_E19	P2_R2_AKI603_2
P2_E20	P2_R2_L_Moses_2
P2_E21	P2_R2_Talazoparib_tosylate_2
P2_E22	P2_R2_BD750_2
P2_F03	P2_R2_JANEX_1_2
P2_F04	P2_R2_ZM_447439_2
P2_F05	P2_R2_Decursinol_angelate_2
P2_F06	P2_R2_FL_411_2
P2_F07	P2_R2_Ruxolitinib_(phosphate)_2
P2_F08	P2_R2_Pimelic_Diphenylamide_106_2
P2_F09	P2_R2_BRD4/CK2_IN_1_2
P2_F10	P2_R2_HDACs/mTOR_Inhibitor_1_2
P2_F11	P2_R2_BAY_299_2
P2_F12	P2_R2_BRD4_Inhibitor_10_2
P2_F13	P2_R2_NKL_22_2
P2_F14	P2_R2_KG_501_2
P2_F15	P2_R2_MT_63_78_2
P2_F16	P2_R2_UNC0321_2
P2_F17	P2_R2_Coenzyme_Q0_2
P2_F18	P2_R2_JAK_IN_23_2
P2_F19	P2_R2_WDR5_0103_2
P2_F20	P2_R2_Remodelin_2
P2_F21	P2_R2_JAK_IN_14_2
P2_F22	P2_R2_p32_Inhibitor_M36_2
P2_G03	P2_R2_Tazemetostat_de(methylene_morpholine)_O_C3_O_C_COOH_2
P2_G04	P2_R2_Suberoyl_bis_hydroxamic_acid_2
P2_G05	P2_R2_SRX3177_2
P2_G06	P2_R2_UNC1215_2
P2_G07	P2_R2_(Z)_LFM_A13_2
P2_G08	P2_R2_Veliparib_(dihydrochloride)_2
P2_G09	P2_R2_MRK_740_2
P2_G10	P2_R2_PJ34_2
P2_G11	P2_R2_MS37452_2
P2_G12	P2_R2_GW779439X_2
P2_G13	P2_R2_CEP_33779_2
P2_G14	P2_R2_SCH_1473759_(hydrochloride)_2
P2_G15	"P2_R2_2,4_PDCA_2"
P2_G16	P2_R2_Metformin_(hydrochloride)_2
P2_G17	P2_R2_Oxamflatin_2
P2_G18	P2_R2_EPZ020411_2
P2_G19	P2_R2_PARP10_IN_2_2
P2_G20	P2_R2_Broussonin_E_2
P2_G21	P2_R2_Quisinostat_2
P2_G22	P2_R2_NSC_370284_2
P2_H03	P2_R2_KR_39038_2
P2_H04	P2_R2_Methyl_cinnamate_2
P2_H05	P2_R2_TCS7010_2
P2_H06	P2_R2_FG_2216_2
P2_H07	P2_R2_J22352_2
P2_H08	P2_R2_Reversine_2
P2_H09	P2_R2_WHI_P154_2
P2_H10	P2_R2_Filgotinib_2
P2_H11	P2_R2_Benzyl_selenocyanate_2
P2_H12	P2_R2_SP_96_2
P2_H13	P2_R2_Nepodin_2
P2_H14	P2_R2_SGC_SMARCA_BRDVIII_2
P2_H15	P2_R2_PFI_90_2
P2_H16	P2_R2_KDM4C_IN_1_2
P2_H17	P2_R2_GSK_J4_2
P2_H18	P2_R2_NVP_BSK805_2
P2_H19	P2_R2_PTACH_2
P2_H20	P2_R2_SIRT2_IN_8_2
P2_H21	P2_R2_JAK2/FLT3_IN_1_2
P2_H22	P2_R2_3_TYP_2
P2_I03	P2_R2_BI_9321_(trihydrochloride)_2
P2_I04	P2_R2_HDAC_IN_4_2
P2_I05	P2_R2_GSK8814_2
P2_I06	P2_R2_EM127_2
P2_I07	P2_R2_A_366_2
P2_I08	P2_R2_EI1_2
P2_I09	P2_R2_TFMB_(S)_2_HG_2
P2_I10	P2_R2_PLX51107_2
P2_I11	P2_R2_RBN012759_2
P2_I12	P2_R2_Ruboxistaurin_(hydrochloride)_2
P2_I13	P2_R2_(E/Z)_Zotiraciclib_2
P2_I14	"P2_R2_Pep2m,_myristoylated_(TFA)_2"
P2_I15	P2_R2_OICR_9429_2
P2_I16	P2_R2_PF_03814735_2
P2_I17	P2_R2_Protosappanin_A_2
P2_I18	P2_R2_KDM4_IN_3_2
P2_I19	P2_R2_BAZ2_ICR_2
P2_I20	P2_R2_HDAC10_IN_2_(hydrochloride)_2
P2_I21	P2_R2_BVT948_2
P2_I22	P2_R2_GSK_3484862_2
P2_J03	P2_R2_PARP7_IN_14_2
P2_J04	"P2_R2_Phorbol_12,13_dibutyrate_2"
P2_J05	P2_R2_MC1568_2
P2_J06	P2_R2_ML192_2
P2_J07	P2_R2_Buformin_(hydrochloride)_2
P2_J08	P2_R2_Belinostat_2
P2_J09	P2_R2_A_769662_2
P2_J10	P2_R2_CRT0066854_2
P2_J11	P2_R2_(Rac)_PT2399_2
P2_J12	P2_R2_Aldometanib_2
P2_J13	P2_R2_Ruxolitinib_(S_enantiomer)_2
P2_J14	P2_R2_UBCS039_2
P2_J15	P2_R2_WZ4003_2
P2_J16	P2_R2_Malantide_2
P2_J17	P2_R2_YK_3_237_2
P2_J18	P2_R2_SIRT6_IN_2_2
P2_J19	P2_R2_BET_bromodomain_inhibitor_2
P2_J20	P2_R2_HPOB_2
P2_J21	P2_R2_Alteminostat_2
P2_J22	P2_R2_WT_161_2
P2_K03	P2_R2_PFI_2_(hydrochloride)_2
P2_K04	P2_R2_Benzene_hexabromide_2
P2_K05	P2_R2_SGI_1027_2
P2_K06	P2_R2_JB170_2
P2_K07	P2_R2_Barasertib_HQPA_2
P2_K08	P2_R2_SK_575_2
P2_K09	P2_R2_SIRT1_IN_1_2
P2_K10	P2_R2_BAZ1A_IN_1_2
P2_K11	P2_R2_AG_270_2
P2_K12	P2_R2_EB_3D_2
P2_K13	P2_R2_Tenovin_1_2
P2_K14	P2_R2_IMM_H007_2
P2_K15	P2_R2_PF_9366_2
P2_K16	P2_R2_DDP_38003_(trihydrochloride)_2
P2_K17	P2_R2_GSK9311_2
P2_K18	P2_R2_E3330_2
P2_K19	P2_R2_EHMT2_IN_1_2
P2_K20	P2_R2_PKC_theta_inhibitor_2
P2_K21	P2_R2_GLPG0634_analog_2
P2_K22	P2_R2_PKCiota_IN_2_(formic)_2
P2_L03	P2_R2_Ilorasertib_(hydrochloride)_2
P2_L04	P2_R2_O6BTG_octylglucoside_2
P2_L05	P2_R2_CX_6258_(hydrochloride_hydrate)_2
P2_L06	P2_R2_AU_15330_2
P2_L07	P2_R2_TAK_632_2
P2_L08	P2_R2_AMPK_IN_3_2
P2_L09	P2_R2_MS31_(trihydrochloride)_2
P2_L10	P2_R2_Ginkgolide_C_2
P2_L11	P2_R2_Galegine_(hydrochloride)_2
P2_L12	P2_R2_CAY10603_2
P2_L13	P2_R2_Tofacitinib_2
P2_L14	P2_R2_MI_3_2
P2_L15	P2_R2_MI_3454_2
P2_L16	P2_R2_Danusertib_2
P2_L17	P2_R2_MLN8054_2
P2_L18	P2_R2_SIRT_IN_1_2
P2_L19	P2_R2_NEO2734_2
P2_L20	P2_R2_SGC_CBP30_2
P2_L21	P2_R2_Oxychlororaphine_2
P2_L22	P2_R2_PROTAC_BET_Degrader_1_2
P2_M03	P2_R2_TG101209_2
P2_M04	P2_R2_R_59_022_2
P2_M05	P2_R2_TP_238_(hydrochloride)_2
P2_M06	P2_R2_SEL24_B489_2
P2_M07	P2_R2_JQAD1_2
P2_M08	P2_R2_MZP_54_2
P2_M09	P2_R2_Bisindolylmaleimide_X_(hydrochloride)_2
P2_M10	P2_R2_Protein_Kinase_C_(19_36)_2
P2_M11	P2_R2_JNJ_42041935_2
P2_M12	P2_R2_TCS_21311_2
P2_M13	P2_R2_PIM_447_(dihydrochloride)_2
P2_M14	P2_R2_PKC_iota_inhibitor_1_2
P2_M15	P2_R2_RVX_297_2
P2_M16	P2_R2_PROTAC_BRD4_binding_moiety_1_2
P2_M17	P2_R2_AZD1208_2
P2_M18	"P2_R2_1,4_DPCA_ethyl_ester_2"
P2_M19	P2_R2_Alisertib_2
P2_M20	P2_R2_UNC0638_2
P2_M21	P2_R2_MS177_2
P2_M22	P2_R2_(R)_GSK_3685032_2
P2_N03	P2_R2_TCS_PIM_1_1_2
P2_N04	"P2_R2_(2R,5S)_Ritlecitinib_2"
P2_N05	P2_R2_MK_3903_2
P2_N06	P2_R2_EPZ011989_2
P2_N07	P2_R2_7_Methoxyisoflavone_2
P2_N08	P2_R2_KDOAM_25_(citrate)_2
P2_N09	P2_R2_TMP195_2
P2_N10	P2_R2_Decernotinib_2
P2_N11	P2_R2_YLF_466D_2
P2_N12	P2_R2_DCPLA_ME_2
P2_N13	P2_R2_BRM/BRG1_ATP_Inhibitor_2_2
P2_N14	P2_R2_JAK_IN_3_2
